day,n
2019-01-01,3
2019-01-02,5
2019-01-03,17
2019-01-04,15
2019-01-05,5
2019-01-06,7
2019-01-07,2
2019-01-08,9
2019-01-09,2
2019-01-10,13
2019-01-11,5
2019-01-12,7
2019-01-13,8
2019-01-14,5
2019-01-15,12
2019-01-16,5
2019-01-17,10
2019-01-18,14
2019-01-19,2
2019-01-20,3
2019-01-21,5
2019-01-22,3
2019-01-23,8
2019-01-24,23
2019-01-25,11
2019-01-26,1
2019-01-27,4
2019-01-28,6
2019-01-29,4
2019-01-30,7
2019-01-31,3
2019-02-01,1
2019-02-02,1
2019-02-03,0
2019-02-04,2
2019-02-05,7
2019-02-06,16
2019-02-07,8
2019-02-08,4
2019-02-09,1
2019-02-10,3
2019-02-11,4
2019-02-12,2
2019-02-13,5
2019-02-14,5
2019-02-15,4
2019-02-16,0
2019-02-17,1
2019-02-18,2
2019-02-19,2
2019-02-20,3
2019-02-21,0
2019-02-22,2
2019-02-23,1
2019-02-24,2
2019-02-25,2
2019-02-26,7
2019-02-27,2
2019-02-28,3
2019-03-01,2
2019-03-02,4
2019-03-03,0
2019-03-04,9
2019-03-05,8
2019-03-06,6
2019-03-07,7
2019-03-08,63
2019-03-09,7
2019-03-10,15
2019-03-11,13
2019-03-12,8
2019-03-13,4
2019-03-14,4
2019-03-15,2
2019-03-16,2
2019-03-17,3
2019-03-18,3
2019-03-19,1
2019-03-20,3
2019-03-21,8
2019-03-22,0
2019-03-23,1
2019-03-24,2
2019-03-25,1
2019-03-26,7
2019-03-27,1
2019-03-28,9
2019-03-29,6
2019-03-30,2
2019-03-31,1
2019-04-01,2
2019-04-02,3
2019-04-03,4
2019-04-04,3
2019-04-05,3
2019-04-06,1
2019-04-07,7
2019-04-08,6
2019-04-09,2
2019-04-10,1
2019-04-11,1
2019-04-12,4
2019-04-13,1
2019-04-14,0
2019-04-15,4
2019-04-16,4
2019-04-17,5
2019-04-18,13
2019-04-19,1
2019-04-20,1
2019-04-21,4
2019-04-22,3
2019-04-23,1
2019-04-24,2
2019-04-25,2
2019-04-26,4
2019-04-27,2
2019-04-28,1
2019-04-29,2
2019-04-30,1
2019-05-01,4
2019-05-02,2
2019-05-03,5
2019-05-04,0
2019-05-05,0
2019-05-06,0
2019-05-07,2
2019-05-08,0
2019-05-09,2
2019-05-10,7
2019-05-11,1
2019-05-12,1
2019-05-13,5
2019-05-14,0
2019-05-15,6
2019-05-16,2
2019-05-17,1
2019-05-18,1
2019-05-19,2
2019-05-20,2
2019-05-21,2
2019-05-22,29
2019-05-23,7
2019-05-24,0
2019-05-25,1
2019-05-26,1
2019-05-27,2
2019-05-28,3
2019-05-29,3
2019-05-30,0
2019-05-31,1
2019-06-01,0
2019-06-02,0
2019-06-03,2
2019-06-04,0
2019-06-05,2
2019-06-06,0
2019-06-07,6
2019-06-08,2
2019-06-09,2
2019-06-10,3
2019-06-11,2
2019-06-12,4
2019-06-13,1
2019-06-14,0
2019-06-15,1
2019-06-16,0
2019-06-17,2
2019-06-18,1
2019-06-19,0
2019-06-20,2
2019-06-21,2
2019-06-22,1
2019-06-23,1
2019-06-24,0
2019-06-25,2
2019-06-26,1
2019-06-27,1
2019-06-28,0
2019-06-29,0
2019-06-30,0
2019-07-01,1
2019-07-02,3
2019-07-03,2
2019-07-04,0
2019-07-05,2
2019-07-06,1
2019-07-07,1
2019-07-08,2
2019-07-09,1
2019-07-10,2
2019-07-11,2
2019-07-12,0
2019-07-13,0
2019-07-14,0
2019-07-15,0
2019-07-16,1
2019-07-17,1
2019-07-18,0
2019-07-19,1
2019-07-20,0
2019-07-21,0
2019-07-22,1
2019-07-23,90
2019-07-24,48
2019-07-25,13
2019-07-26,4
2019-07-27,0
2019-07-28,0
2019-07-29,2
2019-07-30,1
2019-07-31,1
2019-08-01,1
2019-08-02,0
2019-08-03,1
2019-08-04,1
2019-08-05,1
2019-08-06,31
2019-08-07,4
2019-08-08,3
2019-08-09,4
2019-08-10,2
2019-08-11,1
2019-08-12,30
2019-08-13,6
2019-08-14,2
2019-08-15,0
2019-08-16,1
2019-08-17,1
2019-08-18,3
2019-08-19,1
2019-08-20,0
2019-08-21,2
2019-08-22,7
2019-08-23,0
2019-08-24,1
2019-08-25,2
2019-08-26,0
2019-08-27,2
2019-08-28,2
2019-08-29,6
2019-08-30,2
2019-08-31,2
2019-09-01,0
2019-09-02,3
2019-09-03,1
2019-09-04,0
2019-09-05,0
2019-09-06,1
2019-09-07,1
2019-09-08,11
2019-09-09,3
2019-09-10,2
2019-09-11,1
2019-09-12,1
2019-09-13,1
2019-09-14,2
2019-09-15,0
2019-09-16,5
2019-09-17,1
2019-09-18,1
2019-09-19,3
2019-09-20,0
2019-09-21,2
2019-09-22,3
2019-09-23,7
2019-09-24,3
2019-09-25,5
2019-09-26,0
2019-09-27,2
2019-09-28,1
2019-09-29,3
2019-09-30,4
2019-10-01,3
2019-10-02,0
2019-10-03,4
2019-10-04,7
2019-10-05,1
2019-10-06,0
2019-10-07,5
2019-10-08,9
2019-10-09,1
2019-10-10,0
2019-10-11,4
2019-10-12,3
2019-10-13,6
2019-10-14,1
2019-10-15,5
2019-10-16,738
2019-10-17,655
2019-10-18,221
2019-10-19,62
2019-10-20,59
2019-10-21,129
2019-10-22,1042
2019-10-23,83
2019-10-24,51
2019-10-25,41
2019-10-26,51
2019-10-27,31
2019-10-28,19
2019-10-29,28
2019-10-30,19
2019-10-31,17
2019-11-01,10
2019-11-02,8
2019-11-03,4
2019-11-04,7
2019-11-05,4
2019-11-06,8
2019-11-07,5
2019-11-08,10
2019-11-09,30
2019-11-10,6
2019-11-11,9
2019-11-12,12
2019-11-13,6
2019-11-14,3
2019-11-15,7
2019-11-16,3
2019-11-17,6
2019-11-18,38
2019-11-19,20
2019-11-20,5
2019-11-21,5
2019-11-22,3
2019-11-23,2
2019-11-24,5
2019-11-25,1
2019-11-26,2
2019-11-27,4
2019-11-28,8
2019-11-29,3
2019-11-30,2
2019-12-01,6
2019-12-02,2
2019-12-03,6
2019-12-04,9
2019-12-05,6
2019-12-06,2
2019-12-07,10
2019-12-08,6
2019-12-09,3
2019-12-10,6
2019-12-11,1
2019-12-12,4
2019-12-13,0
2019-12-14,5
2019-12-15,6
2019-12-16,1
2019-12-17,5
2019-12-18,1
2019-12-19,4
2019-12-20,2
2019-12-21,1
2019-12-22,0
2019-12-23,1
2019-12-24,1
2019-12-25,8
2019-12-26,1
2019-12-27,2
2019-12-28,2
2019-12-29,2
2019-12-30,5
2019-12-31,10
